,Make,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Vehicle Size,city mpg,Popularity,MSRP
479,Toyota,regular unleaded,270.0,6.0,AUTOMATIC,rear wheel drive,Midsize,17,2031,41365
480,Toyota,regular unleaded,270.0,6.0,AUTOMATIC,rear wheel drive,Midsize,17,2031,35740
481,Toyota,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,Midsize,17,2031,37615
482,Toyota,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,Midsize,17,2031,34695
483,Toyota,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,Midsize,17,2031,35725
484,Toyota,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,Midsize,17,2031,43400
485,Toyota,regular unleaded,270.0,6.0,AUTOMATIC,rear wheel drive,Midsize,17,2031,32820
486,Toyota,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,Midsize,17,2031,38645
487,Toyota,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,Midsize,17,2031,37825
488,Toyota,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,Midsize,17,2031,43620
489,Toyota,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,Midsize,17,2031,36115
490,Toyota,regular unleaded,270.0,6.0,AUTOMATIC,rear wheel drive,Midsize,17,2031,35950
491,Toyota,regular unleaded,270.0,6.0,AUTOMATIC,rear wheel drive,Midsize,17,2031,33210
492,Toyota,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,Midsize,17,2031,38855
493,Toyota,regular unleaded,270.0,6.0,AUTOMATIC,rear wheel drive,Midsize,17,2031,41585
494,Toyota,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,Midsize,17,2031,35085
495,Toyota,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,Midsize,17,2031,41310
496,Toyota,regular unleaded,270.0,6.0,AUTOMATIC,rear wheel drive,Midsize,17,2031,36690
497,Toyota,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,Midsize,17,2031,44360
498,Toyota,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,Midsize,17,2031,39595
499,Toyota,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,Midsize,17,2031,41850
500,Toyota,regular unleaded,270.0,6.0,AUTOMATIC,rear wheel drive,Midsize,17,2031,42325
501,Toyota,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,Midsize,17,2031,35885
502,Toyota,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,Midsize,17,2031,38565
503,Toyota,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,Midsize,17,2031,36915
504,Toyota,regular unleaded,270.0,6.0,AUTOMATIC,rear wheel drive,Midsize,17,2031,34010
798,Toyota,premium unleaded (recommended),205.0,4.0,MANUAL,rear wheel drive,Compact,21,2031,26255
799,Toyota,premium unleaded (recommended),200.0,4.0,AUTOMATIC,rear wheel drive,Compact,24,2031,26975
1331,Ford,regular unleaded,135.0,6.0,AUTOMATIC,rear wheel drive,Midsize,16,5657,2000
1332,Ford,regular unleaded,135.0,6.0,AUTOMATIC,rear wheel drive,Midsize,15,5657,2000
1333,Ford,regular unleaded,155.0,6.0,AUTOMATIC,all wheel drive,Large,14,5657,2000
1334,Ford,regular unleaded,135.0,6.0,AUTOMATIC,rear wheel drive,Large,15,5657,2000
1335,Ford,regular unleaded,140.0,6.0,AUTOMATIC,rear wheel drive,Midsize,15,5657,2000
1336,Ford,regular unleaded,155.0,6.0,AUTOMATIC,all wheel drive,Large,13,5657,2000
1337,Ford,regular unleaded,140.0,6.0,AUTOMATIC,rear wheel drive,Large,15,5657,2000
1338,Ford,regular unleaded,140.0,6.0,AUTOMATIC,rear wheel drive,Midsize,16,5657,2000
1339,Ford,regular unleaded,140.0,6.0,AUTOMATIC,rear wheel drive,Midsize,15,5657,2000
1340,Ford,regular unleaded,140.0,6.0,AUTOMATIC,rear wheel drive,Large,15,5657,2000
1341,Ford,regular unleaded,152.0,6.0,AUTOMATIC,all wheel drive,Large,13,5657,2000
1342,Ford,regular unleaded,140.0,6.0,AUTOMATIC,rear wheel drive,Midsize,15,5657,2000
1469,Ford,regular unleaded,63.0,4.0,MANUAL,front wheel drive,Compact,31,5657,2000
1471,Ford,regular unleaded,63.0,4.0,MANUAL,front wheel drive,Compact,31,5657,2000
1472,Ford,regular unleaded,63.0,4.0,MANUAL,front wheel drive,Compact,29,5657,2000
1473,Ford,regular unleaded,63.0,4.0,MANUAL,front wheel drive,Compact,29,5657,2000
1474,Ford,regular unleaded,63.0,4.0,MANUAL,front wheel drive,Compact,29,5657,2000
1475,Ford,regular unleaded,63.0,4.0,MANUAL,front wheel drive,Compact,29,5657,2000
1586,Toyota,regular unleaded,200.0,4.0,AUTOMATIC,front wheel drive,Midsize,40,2031,37800
1587,Toyota,regular unleaded,200.0,4.0,AUTOMATIC,front wheel drive,Midsize,40,2031,41700
1588,Toyota,regular unleaded,200.0,4.0,AUTOMATIC,front wheel drive,Midsize,40,2031,36470
1589,Toyota,regular unleaded,200.0,4.0,AUTOMATIC,front wheel drive,Midsize,40,2031,36650
1590,Toyota,regular unleaded,200.0,4.0,AUTOMATIC,front wheel drive,Midsize,40,2031,38100
1591,Toyota,regular unleaded,200.0,4.0,AUTOMATIC,front wheel drive,Midsize,40,2031,41950
1592,Toyota,regular unleaded,200.0,4.0,AUTOMATIC,front wheel drive,Midsize,40,2031,42550
1593,Toyota,regular unleaded,200.0,4.0,AUTOMATIC,front wheel drive,Midsize,40,2031,38700
1594,Toyota,regular unleaded,200.0,4.0,AUTOMATIC,front wheel drive,Midsize,40,2031,37250
1595,Toyota,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,Midsize,21,2031,37170
1596,Toyota,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,Midsize,21,2031,32285
1597,Toyota,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,Midsize,21,2031,39980
1598,Toyota,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,Midsize,21,2031,36080
1599,Toyota,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,Midsize,21,2031,34140
1600,Toyota,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,Midsize,21,2031,37050
1601,Toyota,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,Midsize,21,2031,35850
1602,Toyota,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,Midsize,21,2031,40450
1603,Toyota,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,Midsize,21,2031,32650
1604,Toyota,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,Midsize,21,2031,34400
1605,Toyota,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,Midsize,21,2031,41050
1606,Toyota,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,Midsize,21,2031,37650
1607,Toyota,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,Midsize,21,2031,33250
1608,Toyota,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,Midsize,21,2031,36450
1609,Toyota,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,Midsize,21,2031,35000
1792,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,24,873,27295
1793,Volkswagen,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,23,873,31795
1794,Volkswagen,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,23,873,34895
1795,Volkswagen,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,Compact,21,873,27295
1796,Volkswagen,diesel,140.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,28,873,32755
1797,Volkswagen,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,Compact,23,873,29395
1798,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,24,873,29395
1799,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,24,873,25170
1800,Volkswagen,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,23,873,30495
1801,Volkswagen,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,Compact,23,873,30695
1803,Volkswagen,diesel,140.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,28,873,31195
1805,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,24,873,30755
1808,Volkswagen,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,Compact,23,873,33795
1809,Volkswagen,diesel,140.0,4.0,MANUAL,front wheel drive,Compact,28,873,30095
1814,Volkswagen,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,Compact,21,873,29395
1815,Volkswagen,diesel,140.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,28,873,29995
1817,Volkswagen,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,Compact,21,873,25170
1821,Volkswagen,diesel,140.0,4.0,MANUAL,front wheel drive,Compact,28,873,28895
1822,Volkswagen,diesel,150.0,4.0,MANUAL,front wheel drive,Compact,30,873,30295
1823,Volkswagen,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,23,873,31995
1824,Volkswagen,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,Compact,23,873,33995
1825,Volkswagen,diesel,150.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,30,873,30195
1826,Volkswagen,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,23,873,32595
1827,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,24,873,29595
1828,Volkswagen,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,23,873,35095
1829,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,24,873,30425
1831,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,24,873,27475
1832,Volkswagen,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,Compact,23,873,30895
1833,Volkswagen,diesel,150.0,4.0,MANUAL,front wheel drive,Compact,30,873,31125
1834,Volkswagen,diesel,150.0,4.0,MANUAL,front wheel drive,Compact,30,873,29675
1835,Volkswagen,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,23,873,30995
1836,Volkswagen,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,Compact,23,873,34875
1838,Volkswagen,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,Compact,23,873,29895
1839,Volkswagen,diesel,150.0,4.0,MANUAL,front wheel drive,Compact,30,873,29095
1840,Volkswagen,diesel,150.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,30,873,31395
1843,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,24,873,25595
1846,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,24,873,25995
1849,Volkswagen,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,23,873,35975
1850,Volkswagen,diesel,150.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,30,873,30775
1852,Volkswagen,diesel,150.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,30,873,32225
1854,Volkswagen,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,Compact,23,873,31495
1855,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,24,873,27995
1861,Volkswagen,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,Compact,23,873,29790
1862,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,25,873,28070
1863,Volkswagen,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,Compact,23,873,34950
1864,Volkswagen,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,23,873,32670
1866,Volkswagen,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,Compact,23,873,31570
1867,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,25,873,30500
1868,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,25,873,25995
1869,Volkswagen,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,23,873,36050
1870,Volkswagen,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,23,873,30890
1873,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,25,873,25490
1881,Volkswagen,diesel,150.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,31,873,25895
1882,Volkswagen,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,24,873,31625
1883,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,25,873,20195
1884,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,25,873,24185
1885,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,25,873,26985
1886,Volkswagen,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,Compact,23,873,30525
1887,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,25,873,26195
1891,Volkswagen,regular unleaded,170.0,4.0,MANUAL,front wheel drive,Compact,24,873,23085
1892,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,25,873,21795
1893,Volkswagen,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,Compact,23,873,28115
1894,Volkswagen,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,24,873,32475
1895,Volkswagen,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,Compact,23,873,28675
1896,Volkswagen,regular unleaded,170.0,4.0,MANUAL,front wheel drive,Compact,24,873,20695
1897,Volkswagen,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,Compact,23,873,25450
1898,Volkswagen,diesel,150.0,4.0,MANUAL,front wheel drive,Compact,31,873,27710
1900,Volkswagen,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,24,873,26550
